epoch 124  train_mse=3894.78  val_mse=4038.87
epoch 125  train_mse=3858.65  val_mse=4011.85
epoch 126  train_mse=3840.71  val_mse=3986.55
epoch 127  train_mse=3807.54  val_mse=3959.34
epoch 128  train_mse=3778.55  val_mse=3937.61
epoch 129  train_mse=3763.21  val_mse=3905.80
epoch 130  train_mse=3726.25  val_mse=3879.46
epoch 131  train_mse=3707.50  val_mse=3847.94
epoch 132  train_mse=3679.97  val_mse=3818.48
epoch 133  train_mse=3649.29  val_mse=3790.80
epoch 134  train_mse=3623.69  val_mse=3763.04
epoch 135  train_mse=3596.08  val_mse=3735.95
epoch 136  train_mse=3569.04  val_mse=3708.94
epoch 137  train_mse=3549.99  val_mse=3682.00
epoch 138  train_mse=3512.14  val_mse=3655.61
epoch 139  train_mse=3497.42  val_mse=3629.55
epoch 140  train_mse=3456.53  val_mse=3604.25
epoch 141  train_mse=3445.96  val_mse=3578.94
epoch 142  train_mse=3424.12  val_mse=3556.30
epoch 143  train_mse=3400.44  val_mse=3528.44
epoch 144  train_mse=3375.01  val_mse=3503.37
epoch 145  train_mse=3346.04  val_mse=3479.18
epoch 146  train_mse=3325.17  val_mse=3454.65
epoch 147  train_mse=3296.87  val_mse=3430.79
epoch 148  train_mse=3281.50  val_mse=3405.78
epoch 149  train_mse=3258.32  val_mse=3382.16
epoch 150  train_mse=3222.57  val_mse=3358.73
epoch 151  train_mse=3208.05  val_mse=3335.42
epoch 152  train_mse=3185.06  val_mse=3311.59
epoch 153  train_mse=3163.43  val_mse=3288.23
epoch 154  train_mse=3143.94  val_mse=3266.38
epoch 155  train_mse=3116.40  val_mse=3246.67
epoch 156  train_mse=3092.56  val_mse=3219.89
epoch 157  train_mse=3077.95  val_mse=3199.28
epoch 158  train_mse=3052.81  val_mse=3178.60
epoch 159  train_mse=3026.25  val_mse=3159.21
epoch 160  train_mse=3012.15  val_mse=3131.54
epoch 161  train_mse=2986.43  val_mse=3110.86
epoch 162  train_mse=2971.64  val_mse=3088.25
